"meth","item","repl","y"
"S",55,1,112
"S",56,1,120
"S",57,1,117
"S",58,1,194
"S",59,1,167
"S",60,1,173
"S",61,1,228
"S",62,1,77
"S",63,1,154
"S",64,1,154
"S",65,1,145
"S",66,1,200
"S",67,1,188
"S",68,1,149
"S",69,1,136
"S",70,1,128
"S",71,1,204
"S",72,1,184
"S",73,1,163
"S",74,1,93
"S",75,1,178
"S",76,1,202
"S",77,1,162
"S",78,1,227
"S",79,1,133
"S",80,1,202
"S",81,1,158
"S",82,1,124
"S",83,1,114
"S",84,1,137
"S",85,1,121
"S",1,2,128
"S",2,2,127
"S",3,2,94
"S",4,2,127
"S",5,2,131
"S",6,2,142
"S",7,2,112
"S",8,2,129
"S",9,2,122
"S",10,2,113
"S",11,2,113
"S",12,2,125
"S",13,2,129
"S",14,2,126
"S",15,2,119
"S",16,2,133
"S",17,2,116
"S",18,2,113
"S",19,2,127
"S",20,2,155
"S",21,2,170
"S",22,2,156
"S",23,2,170
"S",24,2,155
"S",25,2,152
"S",26,2,144
"S",27,2,150
"S",28,2,144
"S",29,2,228
"S",30,2,183
"S",31,2,99
"S",32,2,131
"S",33,2,123
"S",34,2,129
"S",35,2,114
"S",36,2,94
"S",37,2,121
"S",38,2,201
"S",39,2,133
"S",40,2,143
"S",41,2,107
"S",42,2,105
"S",43,2,102
"S",44,2,178
"S",45,2,116
"S",46,2,144
"S",47,2,141
"S",48,2,188
"S",49,2,147
"S",50,2,125
"S",51,2,165
"S",52,2,118
"S",53,2,131
"S",54,2,116
"S",55,2,115
"S",56,2,118
"S",57,2,118
"S",58,2,191
"S",59,2,160
"S",60,2,161
"S",61,2,218
"S",62,2,89
"S",63,2,156
"S",64,2,155
"S",65,2,154
"S",66,2,180
"S",67,2,147
"S",68,2,217
"S",69,2,132
"S",70,2,125
"S",71,2,222
"S",72,2,187
"S",73,2,160
"S",74,2,88
"S",75,2,181
"S",76,2,199
"S",77,2,166
"S",78,2,227
"S",79,2,127
"S",80,2,190
"S",81,2,121
"S",82,2,149
"S",83,2,118
"S",84,2,135
"S",85,2,123
"S",1,3,124
"S",2,3,128
"S",3,3,98
"S",4,3,135
"S",5,3,124
"S",6,3,136
"S",7,3,112
"S",8,3,135
"S",9,3,122
"S",10,3,111
"S",11,3,111
"S",12,3,125
"S",13,3,122
"S",14,3,114
"S",15,3,126
"S",16,3,137
"S",17,3,115
"S",18,3,112
"S",19,3,113
"S",20,3,133
"S",21,3,166
"S",22,3,140
"S",23,3,154
"S",24,3,170
"S",25,3,154
"S",26,3,141
"S",27,3,154
"S",28,3,131
"S",29,3,226
"S",30,3,184
"S",31,3,106
"S",32,3,124
"S",33,3,124
"S",34,3,125
"S",35,3,125
"S",36,3,96
"S",37,3,127
"S",38,3,207
"S",39,3,146
"S",40,3,138
"S",41,3,102
"S",42,3,97
"S",43,3,137
"S",44,3,171
"S",45,3,116
"S",46,3,147
"S",47,3,137
"S",48,3,166
"S",49,3,136
"S",50,3,124
"S",51,3,189
"S",52,3,109
"S",53,3,124
"S",54,3,113
"S",55,3,104
"S",56,3,132
"S",57,3,115
"S",58,3,196
"S",59,3,161
"S",60,3,154
"S",61,3,189
"S",62,3,101
"S",63,3,141
"S",64,3,148
"S",65,3,166
"S",66,3,179
"S",67,3,139
"S",68,3,192
"S",69,3,133
"S",70,3,142
"S",71,3,224
"S",72,3,192
"S",73,3,152
"S",74,3,88
"S",75,3,181
"S",76,3,195
"S",77,3,148
"S",78,3,219
"S",79,3,126
"S",80,3,213
"S",81,3,134
"S",82,3,137
"S",83,3,126
"S",84,3,134
"S",85,3,128
